12	3.36	-4.25	3.25	2	2	38.18	94.95	0.12	10	1.88	2.633333	# LS tree differs in height | LS tree intersects ground |
8	0.84	-1.81	5.04	2	3	22.94	183.35	0.50	10	0.67	1.984003	# LS tree differs in height | 
6	4.72	2.96	5.36	3	2	21.18	102.45	0.10	18	0.32	1.991353	# LS tree differs in height | 
11	-0.13	-3.81	2.72	2	2	24.13	129.45	0.39	12	0.66	0.946390	# 
6	3.16	-2.25	3.08	3	2	39.78	155.85	0.12	16	0.98	0.980545	# 
6	1.49	-1.65	3.80	3	3	31.88	143.07	0.88	15	1.18	1.960667	# LS tree intersects ground |
13	3.37	-0.83	3.20	2	2	22.87	118.14	0.68	16	0.31	0.975357	# 
13	-4.39	3.91	5.16	3	2	27.29	180.57	0.13	14	0.65	1.915812	# LS tree intersects ground |
7	3.54	0.01	4.08	3	2	20.81	171.20	0.76	11	0.15	1.998703	# LS tree differs in height | 
8	-1.09	3.59	5.61	2	2	35.35	82.97	0.46	19	1.34	2.925641	# LS tree differs in height | LS tree intersects ground |
13	2.83	-4.57	5.78	3	2	22.74	65.14	0.73	10	0.71	1.984436	# LS tree intersects ground |
10	4.03	-1.11	4.94	2	2	27.09	108.84	0.69	10	0.44	1.992218	# LS tree differs in height | 
6	4.49	-3.04	2.74	3	2	22.46	111.84	0.29	17	1.78	0.922650	# 
5	3.51	4.63	3.99	3	2	31.53	80.70	0.68	15	1.02	0.992650	# 
19	3.83	-1.84	4.88	2	3	36.56	108.52	0.22	10	1.18	1.992732	# LS tree differs in height | 
9	-0.58	-0.08	3.43	3	3	28.56	84.67	0.43	17	0.36	1.985300	# LS tree differs in height | 
8	-0.43	0.53	2.39	3	2	39.85	142.76	0.75	13	0.93	1.968007	# LS tree intersects ground |
6	-1.59	-4.02	4.03	3	2	34.81	169.79	0.47	14	1.46	0.973195	# 
10	-3.35	1.19	4.90	2	2	23.32	60.70	0.43	11	1.90	2.983333	# LS tree differs in height | LS tree intersects ground |
5	-0.34	2.59	4.61	3	3	31.45	190.98	0.68	10	0.21	1.998703	# LS tree differs in height | 
9	3.10	2.38	2.75	3	2	39.99	189.92	0.97	16	1.67	2.870513	# LS tree differs in height | LS tree intersects ground |
10	1.24	3.44	3.40	2	2	22.92	110.87	0.85	10	0.25	1.995244	# LS tree differs in height | 
5	1.93	4.52	4.02	3	2	33.05	63.77	0.61	19	0.62	1.995244	# LS tree differs in height | 
6	-1.41	1.25	4.73	2	2	28.88	125.66	0.82	13	0.19	1.997838	# LS tree differs in height | 
8	-4.06	-1.66	4.23	3	2	38.39	102.77	0.68	12	0.77	1.986319	# LS tree intersects ground |
15	0.89	0.36	3.76	3	3	30.61	164.63	0.84	12	0.19	1.990056	# LS tree differs in height | 
8	0.78	4.53	4.76	3	3	36.85	156.31	0.23	10	1.15	0.995677	# 
10	-3.84	-3.07	5.39	3	2	26.62	94.22	0.41	19	0.19	1.993083	# LS tree differs in height | 
6	-2.21	2.48	5.05	3	3	22.82	83.98	0.51	17	0.34	1.993947	# LS tree differs in height | 
11	3.21	-0.57	5.71	3	3	20.99	129.93	0.21	16	0.71	0.862762	# 
9	0.55	-2.18	4.30	2	3	39.77	76.73	0.44	14	0.57	1.982044	# LS tree intersects ground |
5	2.62	2.23	4.88	2	2	37.58	131.70	0.32	11	0.78	1.995677	# LS tree differs in height | 
13	3.30	4.07	5.83	2	2	25.15	178.47	0.14	19	0.50	0.916204	# 
6	3.09	0.61	4.81	3	3	38.80	190.88	0.58	16	1.97	2.861966	# LS tree differs in height | LS tree intersects ground |
12	-3.89	4.22	4.50	2	2	37.64	60.98	0.56	13	0.18	1.995677	# LS tree differs in height | 
11	0.00	1.62	3.71	2	2	26.17	62.73	0.79	15	0.61	0.995677	# 
7	-2.85	-1.89	4.02	2	2	20.27	92.07	0.13	14	1.90	0.895254	# 
7	4.19	4.60	5.35	3	2	29.25	153.40	0.16	17	0.30	1.992218	# LS tree differs in height | 
9	1.08	3.61	5.43	2	3	39.48	151.82	0.43	13	0.53	1.985036	# LS tree intersects ground |
8	-0.19	-0.96	4.56	3	2	25.15	182.96	0.54	10	1.34	0.927799	# 
9	2.92	2.29	4.56	2	2	27.02	146.07	0.36	15	0.82	0.928664	# 
13	4.89	-1.20	5.77	2	3	21.81	101.14	0.32	10	1.36	0.992732	# 
6	4.92	-2.39	3.13	3	2	20.39	156.79	0.33	14	1.07	0.976221	# 
8	4.36	-1.32	3.41	3	3	34.86	199.17	0.86	14	1.87	2.652137	# LS tree differs in height | LS tree intersects ground |
7	-0.07	-3.06	3.63	3	3	21.87	166.90	0.29	18	1.08	0.893117	# 
9	3.22	3.82	2.58	3	2	39.64	175.44	0.42	12	1.72	2.887179	# LS tree differs in height | LS tree intersects ground |
5	-1.31	2.74	3.53	2	2	23.08	176.21	0.29	16	0.89	0.985300	# 
8	-1.54	2.81	4.18	2	3	34.91	171.32	0.78	12	1.62	1.863675	# LS tree intersects ground |
7	2.10	-1.33	2.87	2	2	35.97	196.79	0.40	13	1.17	1.973932	# LS tree intersects ground |
5	2.28	2.31	2.67	2	2	23.17	109.66	0.27	15	0.20	1.997406	# LS tree differs in height | 
10	1.97	1.23	4.64	2	3	27.81	140.66	0.40	11	0.76	1.972638	# LS tree intersects ground |
6	-2.93	-4.48	3.13	3	3	23.52	143.36	0.62	11	0.19	1.998271	# LS tree differs in height | 
17	3.43	-0.76	2.50	3	2	38.78	188.38	0.93	16	0.11	2.989312	# LS tree differs in height | LS tree intersects ground |
10	3.52	-3.10	2.70	2	2	32.97	181.86	0.27	17	0.21	1.990921	# LS tree differs in height | 
6	-2.03	0.21	5.21	3	3	22.88	115.29	0.69	17	0.37	1.990056	# LS tree differs in height | 
6	4.14	-4.72	5.33	3	2	23.39	169.19	0.67	11	1.73	0.955901	# 
16	-2.09	0.17	4.42	3	3	26.20	186.58	0.34	10	0.17	1.996974	# LS tree differs in height | 
10	-1.68	-0.94	5.76	3	2	39.60	154.45	0.97	17	0.99	1.807265	# LS tree intersects ground |
10	-3.11	-3.24	5.09	3	3	24.92	132.15	0.11	15	0.72	0.936879	# 
7	-2.44	4.66	2.19	3	2	35.48	194.75	1.00	14	1.23	1.961111	# LS tree intersects ground |
5	-4.03	0.27	3.84	2	2	25.25	150.56	0.53	13	0.43	1.996974	# LS tree differs in height | 
16	-1.53	1.04	2.95	2	2	35.69	182.33	0.90	10	0.29	2.988327	# LS tree differs in height | LS tree intersects ground |
6	3.60	-4.05	4.40	3	2	31.18	191.12	0.77	18	1.26	0.950427	# 
8	-3.58	1.76	2.03	2	2	24.76	138.02	0.61	11	1.61	0.942283	# 
6	0.46	-1.86	4.26	3	2	34.96	110.26	0.55	13	1.01	1.978196	# LS tree intersects ground |
10	1.54	-4.43	3.46	3	2	35.33	175.09	0.18	13	1.54	2.742735	# LS tree differs in height | LS tree intersects ground |
7	4.75	-3.86	4.97	2	3	34.99	72.14	0.58	15	0.56	1.990921	# LS tree differs in height | 
10	1.62	-4.97	4.31	3	2	31.55	74.66	0.23	18	1.25	2.827350	# LS tree differs in height | LS tree intersects ground |
19	-2.30	-2.82	5.62	3	2	26.71	80.47	0.39	10	0.57	1.928664	# LS tree intersects ground |
5	4.31	-0.15	2.66	2	2	38.74	179.38	0.63	11	0.73	1.993515	# LS tree differs in height | 
7	0.27	3.02	3.91	2	2	38.06	157.04	0.14	13	0.42	1.993515	# LS tree differs in height | 
8	2.06	-1.41	5.00	3	3	33.58	94.05	0.86	14	1.22	1.805128	# LS tree intersects ground |
7	-3.60	2.98	2.42	2	2	28.31	127.30	0.48	16	0.74	0.981842	# 
12	-4.41	-4.06	5.72	3	2	30.90	189.00	0.57	15	0.44	0.968439	# 
9	4.90	3.41	5.04	2	2	30.16	195.50	0.50	18	0.29	1.991786	# LS tree differs in height | 
11	-4.13	1.95	2.82	2	2	30.86	176.42	0.61	17	1.52	2.643590	# LS tree differs in height | LS tree intersects ground |
8	-2.00	-2.32	2.89	2	3	27.86	85.55	0.59	14	0.75	1.967142	# LS tree intersects ground |
14	-3.64	3.24	4.53	2	2	23.61	154.60	0.30	18	0.12	1.993515	# LS tree differs in height | 
6	-3.49	2.70	2.07	3	2	32.53	158.71	0.21	19	1.11	0.965797	# 
11	-3.68	-1.16	4.54	2	2	25.90	160.26	0.28	19	1.37	2.412393	# LS tree differs in height | LS tree intersects ground |
6	-2.69	-3.75	3.19	3	3	35.94	71.80	0.95	11	0.79	1.996974	# LS tree differs in height | 
10	4.25	0.57	5.80	2	2	31.85	64.76	0.24	11	1.15	1.991453	# LS tree intersects ground |
9	3.33	-3.22	5.07	3	3	22.44	88.85	0.63	10	0.31	1.994812	# LS tree differs in height | 
10	-2.13	-0.45	5.74	3	2	39.82	107.59	0.34	14	0.32	1.990921	# LS tree differs in height | 
13	-2.92	3.80	4.06	3	3	30.41	112.14	0.84	11	0.88	0.994015	# 
8	2.90	-4.99	5.78	3	2	22.81	185.31	0.23	15	1.50	1.811538	# LS tree differs in height | 
15	3.28	-4.32	4.75	2	2	37.82	195.40	0.14	14	0.29	1.982471	# LS tree intersects ground |
7	-2.39	4.12	5.80	3	2	39.27	162.66	0.80	19	1.79	2.908974	# LS tree differs in height | LS tree intersects ground |
14	-2.26	0.32	2.06	2	2	30.81	76.58	0.27	16	0.11	2.994015	# LS tree differs in height | LS tree intersects ground |
8	4.56	0.39	3.55	2	2	30.19	193.08	0.34	14	1.45	1.923077	# LS tree intersects ground |
9	-4.33	3.09	5.49	2	2	38.42	182.08	0.61	11	1.95	2.864103	# LS tree differs in height | LS tree intersects ground |
11	4.66	4.71	5.51	2	2	32.07	127.07	0.22	12	0.72	0.965413	# 
9	-0.62	4.03	4.98	2	2	34.53	141.15	0.88	15	0.68	0.979680	# 
11	-1.26	-2.85	2.58	3	2	24.53	166.61	0.78	10	1.16	1.814957	# LS tree intersects ground |
12	1.63	-4.04	5.17	3	2	30.94	93.15	0.79	10	0.24	1.994812	# LS tree differs in height | 
15	4.20	-2.65	2.60	3	2	24.48	85.22	0.36	11	0.59	0.994380	# 
9	2.39	1.49	2.09	3	2	37.87	167.84	0.28	11	0.26	1.992650	# LS tree differs in height | 
16	1.35	-2.72	5.18	3	3	35.87	174.12	0.73	15	0.79	1.994442	# LS tree differs in height | 
6	3.99	-1.88	4.04	3	2	24.38	98.20	0.32	17	1.45	0.940573	# 
13	4.34	-3.92	3.34	2	2	38.82	99.55	0.26	13	0.56	1.973195	# LS tree intersects ground |
8	2.59	0.25	3.09	3	2	35.27	173.04	0.79	17	1.30	1.915812	# LS tree intersects ground |
11	4.51	2.63	4.84	2	2	37.52	176.64	0.40	12	0.48	1.980112	# LS tree intersects ground |
6	-0.48	0.38	3.14	3	3	25.48	133.87	0.90	16	1.30	0.945703	# 
9	2.48	-2.70	3.31	3	2	28.09	161.46	0.80	12	1.50	1.834188	# LS tree intersects ground |
6	3.76	2.82	4.97	3	2	27.75	119.33	0.16	13	1.24	0.966278	# 
